SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,NA,Single Family Residential,15 Jean Ct,Cornwall-On-Hudson,NY,12520,435000,3,2,Cornwall On Hudson,1868,9583,1954,4,233,NA,Active,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/15-Jean-Ct-12520/home/54934376,OneKey,H6111353,N,Y,41.4468396,-74.0231957
MLS Listing,NA,Single Family Residential,16 Andrews St,Cornwall-On-Hudson,NY,12520,440000,3,2,Cornwall On Hudson,1556,6534,1949,10,283,NA,Active,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/16-Andrews-St-12520/home/54914942,OneKey,H6114042,N,Y,41.4488927,-74.0180544
MLS Listing,NA,Single Family Residential,26 Cornwall Ave,Cornwall-On-Hudson,NY,12520,399000,3,2,Cliffside Park,1567,4792,1920,20,255,NA,Active,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/26-Cornwall-Ave-12520/home/58937944,OneKey,H6112603,N,Y,41.4436301,-74.0044261
MLS Listing,NA,Single Family Residential,22 Avenue A,Cornwall-On-Hudson,NY,12520,319900,3,1.5,Homeland,1388,10019,1860,37,230,NA,Active,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/22-Avenue-A-12520/home/92374312,OneKey,H6109854,N,Y,41.445923,-74.0175495
PAST SALE,May-7-2021,Single Family Residential,6 Shore Rd,Cornwall-On-Hudson,NY,12520,320000,3,2,Cornwall On Hudson,1875,3049,1870,17,171,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/6-Shore-Rd-12520/home/72599740,OneKey,H6073278,N,Y,41.4489054,-74.0141869
PAST SALE,NA,Single Family Residential,4 Lipani Rd,Cornwall-On-Hudson,NY,12520,278000,4,2,NA,2422,15246,1985,NA,115,NA,NA,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/4-Lipani-Rd-12520/home/72610304,NA,NA,N,Y,41.4393696,-74.0106858
PAST SALE,March-15-2021,Single Family Residential,66 Weeks Ave,Cornwall-On-Hudson,NY,12520,386000,3,1.5,Weeks Estate,1496,10890,1931,70,258,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/66-Weeks-Ave-12520/home/72610054,OneKey,H6090554,N,Y,41.4417356,-74.0214133
PAST SALE,April-9-2021,Single Family Residential,7 Bay View Ter,Cornwall-On-Hudson,NY,12520,610000,4,2,Cornwall On Hudson,1872,24394,1970,45,326,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/7-Bay-View-Ter-12520/home/92374670,OneKey,H6073378,N,Y,41.4420279,-74.0027303
PAST SALE,March-18-2021,Single Family Residential,8 Lafayette St,Cornwall-On-Hudson,NY,12520,395000,3,2,Cornwall On Hudson,1559,6534,1930,67,253,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/8-Lafayette-St-12520/home/54889919,OneKey,H6086097,N,Y,41.4430898,-74.0095058
PAST SALE,July-9-2020,Single Family Residential,8 Hirle St,Cornwall-On-Hudson,NY,12520,445000,3,3,Cornwall On Hudson,2346,6970,1953,319,190,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall-On-Hudson/8-Hirle-St-12520/home/56474646,OneKey,H6007983,N,Y,41.4494295,-74.0188807
