SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-16-2020,Single Family Residential,22 Grand St,Cornwall,NY,12518,385000,3,2,Cornwall,1638,4792,1926,159,235,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/22-Grand-St-12518/home/72610069,OneKey,H6068214,N,Y,41.4364794,-74.0359106
PAST SALE,March-31-2021,Single Family Residential,56 Angola Rd,Cornwall,NY,12518,465500,3,2,Cornwall,1824,10019,1954,54,255,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/56-Angola-Rd-12518/home/72589755,OneKey,H6091298,N,Y,41.4307516,-74.0386875
PAST SALE,NA,Single Family Residential,15 Hawksnest Rd,Cornwall,NY,12518,545000,3,2.5,NA,2158,152460,1980,NA,253,NA,NA,NA,NA,http://www.redfin.com/NY/Cornwall/15-Hawksnest-Rd-12518/home/72610111,NA,NA,N,Y,41.4042791,-74.0474771
PAST SALE,March-29-2021,Single Family Residential,195 Willow Ave,Cornwall,NY,12518,285000,3,1.5,Cornwall,1236,7405,1888,56,231,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/195-Willow-Ave-12518/home/54900123,OneKey,H6083384,N,Y,41.4433589,-74.0456707
PAST SALE,February-18-2021,Single Family Residential,11 Stately Oaks,Cornwall,NY,12518,399000,3,2,Cornwall,2374,47916,1980,95,168,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/11-Stately-Oaks-12518/home/54919196,OneKey,H6046328,N,Y,41.4471572,-74.0412808
PAST SALE,September-10-2020,Single Family Residential,35 Harris Ln,Cornwall,NY,12518,337000,3,2,Cornwall,1742,33541,1951,256,193,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/35-Harris-Ln-12518/home/174803844,OneKey,H6009323,N,Y,41.4392964,-74.0436676
PAST SALE,June-30-2020,Single Family Residential,1 Dyer Ln,Cornwall,NY,12518,420000,4,2.5,Cornwall,2314,28000,1995,328,182,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/1-Dyer-Ln-12518/home/54940325,OneKey,H6011708,N,Y,41.4394451,-74.0369204
PAST SALE,April-7-2021,Single Family Residential,50 Firth St,Cornwall,NY,12518,350000,3,2,Cornwall,1992,11326,1986,47,176,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/50-Firth-St-12518/home/72589838,OneKey,H6073046,N,Y,41.4412721,-74.0471099
PAST SALE,February-4-2021,Single Family Residential,5 Sugar Maples,Cornwall,NY,12518,485000,4,3,Cornwall,2889,91476,1988,109,168,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/5-Sugar-Maples-12518/home/72610012,OneKey,H6067227,N,Y,41.4097485,-74.0687036
PAST SALE,December-29-2020,Single Family Residential,1 Broadway,Cornwall,NY,12518,275000,3,1,Cornwall,1388,4792,1925,146,198,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/1-Broadway-12518/home/54925592,OneKey,H6064026,N,Y,41.4369549,-74.0333754
PAST SALE,May-14-2021,Single Family Residential,1 James St,Cornwall,NY,12518,530000,3,3,Cornwall,1848,20038,2002,10,287,NA,Sold,NA,NA,http://www.redfin.com/NY/Cornwall/1-James-St-12518/home/83459261,OneKey,H6102880,N,Y,41.4424265,-74.0473165
PAST SALE,NA,Single Family Residential,5 Warren Ct,Cornwall,NY,12518,370000,3,2,NA,1785,17424,1986,NA,207,NA,NA,NA,NA,http://www.redfin.com/NY/Cornwall/5-Warren-Ct-12518/home/54911480,NA,NA,N,Y,41.4331426,-74.0379302
