X1,educ92,occly2d_03,female,incp_wag,age,marstat,empl,wbhao,perhh,Education,Sex,Occupation,Age,Earnings,MaritalStatus,Race,agesq,FamilySize,FamilyMakeup
129383,9,40,1,27000,26,5,1,1,3,Less than HS,F,40,26,27000,Never Married,White,676,3,"Single, two children"
110744,9,5,0,56000,40,1,1,1,5,Less than HS,M,5,40,56000,Married,White,1600,5,"Married, > three children"
101481,13,22,1,45000,47,1,1,1,4,Some College/Associates,F,22,47,45000,Married,White,2209,4,"Married, three children"
83929,13,39,1,145000,58,3,1,1,2,Some College/Associates,F,39,58,145000,Divorced,White,3364,2,"Single, one child"
73955,9,41,0,60002,57,1,1,1,3,Less than HS,M,41,57,60002,Married,White,3249,3,"Married, two children"
31999,13,3,0,68000,59,3,1,2,1,Some College/Associates,M,3,59,68000,Divorced,Black,3481,1,Single
175071,14,1,0,50000,46,1,1,1,3,Bachelors,M,1,46,50000,Married,White,2116,3,"Married, two children"
151101,9,46,0,41000,47,1,1,3,4,Less than HS,M,46,47,41000,Married,Hispanic,2209,4,"Married, three children"
136950,9,41,0,60002,55,5,1,1,4,Less than HS,M,41,55,60002,Never Married,White,3025,4,"Single, three children"
120292,10,40,1,23000,32,5,1,1,2,Less than HS,F,40,32,23000,Never Married,White,1024,2,"Single, one child"
82173,12,52,0,41000,31,1,NA,1,5,HS Graduate,M,52,31,41000,Married,White,961,5,"Married, > three children"
140202,13,38,0,170000,43,1,1,1,6,Some College/Associates,M,38,43,170000,Married,White,1849,6,"Married, > three children"
125416,14,21,1,48000,34,1,1,3,3,Bachelors,F,21,34,48000,Married,Hispanic,1156,3,"Married, two children"
104027,9,35,1,20000,53,3,1,1,1,Less than HS,F,35,53,20000,Divorced,White,2809,1,Single
14760,12,5,0,48000,28,5,1,1,3,HS Graduate,M,5,28,48000,Never Married,White,784,3,"Single, two children"
26760,9,49,1,38000,53,1,1,1,2,Less than HS,F,49,53,38000,Married,White,2809,2,"Married, No Kids"
132860,9,49,0,62000,31,1,1,1,2,Less than HS,M,49,31,62000,Married,White,961,2,"Married, No Kids"
24222,12,25,1,75000,48,5,1,1,1,HS Graduate,F,25,48,75000,Never Married,White,2304,1,Single
92339,10,8,1,66500,30,4,1,1,4,Less than HS,F,8,30,66500,Separated,White,900,4,"Single, three children"
124809,10,7,1,40000,38,1,1,2,4,Less than HS,F,7,38,40000,Married,Black,1444,4,"Married, three children"
89012,9,22,1,21000,52,1,1,1,2,Less than HS,F,22,52,21000,Married,White,2704,2,"Married, No Kids"
41701,9,40,1,40000,67,1,1,1,2,Less than HS,F,40,67,40000,Married,White,4489,2,"Married, No Kids"
42475,11,5,0,100000,73,3,1,1,1,Less than HS,M,5,73,100000,Divorced,White,5329,1,Single
139614,13,8,0,100000,37,1,1,3,4,Some College/Associates,M,8,37,100000,Married,Hispanic,1369,4,"Married, three children"
29238,9,34,0,21000,55,1,1,1,2,Less than HS,M,34,55,21000,Married,White,3025,2,"Married, No Kids"
1700,13,8,1,69000,55,1,1,1,4,Some College/Associates,F,8,55,69000,Married,White,3025,4,"Married, three children"
19793,9,9,0,115000,58,1,1,1,3,Less than HS,M,9,58,115000,Married,White,3364,3,"Married, two children"
161510,9,46,0,50000,47,1,1,3,4,Less than HS,M,46,47,50000,Married,Hispanic,2209,4,"Married, three children"
104602,10,31,1,26000,29,5,1,2,1,Less than HS,F,31,29,26000,Never Married,Black,841,1,Single
128862,10,44,0,40000,21,5,1,5,4,Less than HS,M,44,21,40000,Never Married,Other,441,4,"Single, three children"
88600,9,3,1,42000,56,1,1,3,6,Less than HS,F,3,56,42000,Married,Hispanic,3136,6,"Married, > three children"
24915,10,1,1,30000,37,5,1,1,1,Less than HS,F,1,37,30000,Never Married,White,1369,1,Single
176327,10,21,1,50000,59,1,1,1,2,Less than HS,F,21,59,50000,Married,White,3481,2,"Married, No Kids"
81461,10,39,1,70000,64,1,1,1,2,Less than HS,F,39,64,70000,Married,White,4096,2,"Married, No Kids"
153881,13,23,1,30000,58,1,1,4,2,Some College/Associates,F,23,58,30000,Married,Asian,3364,2,"Married, No Kids"
122222,13,25,1,40320,32,1,1,1,4,Some College/Associates,F,25,32,40320,Married,White,1024,4,"Married, three children"
146136,9,38,1,30000,42,1,1,3,4,Less than HS,F,38,42,30000,Married,Hispanic,1764,4,"Married, three children"
128217,11,25,1,90000,56,1,1,4,2,Less than HS,F,25,56,90000,Married,Asian,3136,2,"Married, No Kids"
130851,14,25,1,159000,44,1,1,1,4,Bachelors,F,25,44,159000,Married,White,1936,4,"Married, three children"
26814,13,12,0,120000,41,1,1,4,5,Some College/Associates,M,12,41,120000,Married,Asian,1681,5,"Married, > three children"
86704,13,38,0,115200,48,1,1,3,2,Some College/Associates,M,38,48,115200,Married,Hispanic,2304,2,"Married, No Kids"
34594,13,38,0,42000,29,1,1,2,2,Some College/Associates,M,38,29,42000,Married,Black,841,2,"Married, No Kids"
56879,9,40,1,30000,45,1,1,1,2,Less than HS,F,40,45,30000,Married,White,2025,2,"Married, No Kids"
25682,6,33,1,27000,57,1,1,1,2,Less than HS,F,33,57,27000,Married,White,3249,2,"Married, No Kids"
163906,13,49,0,46000,26,5,1,4,6,Some College/Associates,M,49,26,46000,Never Married,Asian,676,6,"Single, > three children"
1697,13,8,0,75000,35,1,1,1,3,Some College/Associates,M,8,35,75000,Married,White,1225,3,"Married, two children"
